season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
2022.0,1304080,DC v RR,DC,RR,"Wankhede Stadium, Mumbai",Mumbai,India,RR,1,JC Buttler,Jos Buttler,116,65,103,9,9,178.46,False,False,"{'wickets': 2, 'runs': 202}",18.6,c Warner b Mustafizur Rahman,"<B>holes out</b> to long on and an exhilarating innings comes to an end. A pat on the back from Samson as he walks back. Fizz went for the yorker. Buttler tried to hit it, and therefore ended up meeting it at a very low full toss height. Gets some connection, but doesn't have the distance. Warner at long on takes a simple one",
2022.0,1304080,DC v RR,DC,RR,"Wankhede Stadium, Mumbai",Mumbai,India,RR,1,D Padikkal,Devdutt Padikkal,54,35,77,7,2,154.28,False,False,"{'wickets': 1, 'runs': 155}",15.1,lbw b Ahmed,"Khaleel is back. full ball on off stump. Padikkal tries to flick across the line, but it hits his pad. Khaleel goes for an lbw appeal as the ball rolls away rapidly past short third man for four. <B>Capitals review</b> after the umpire says not out. Is there bat involved? Tough to say since the ball is close to both the bat and the pad. But the umpire says there's a clear gap between bat and ball. And ball-tracking says it's crashing into middle stump. Correct review, umpire was wrong, and Padikkal has to walk back for 54.",
2022.0,1304080,DC v RR,DC,RR,"Wankhede Stadium, Mumbai",Mumbai,India,RR,1,SV Samson,Sanju Samson,46,19,34,5,3,242.10,True,True,{},,not out,,
2022.0,1304080,DC v RR,DC,RR,"Wankhede Stadium, Mumbai",Mumbai,India,RR,1,SO Hetmyer,Shimron Hetmyer,1,1,7,0,0,100.00,False,True,{},,not out,,
2022.0,1304080,DC v RR,DC,RR,"Wankhede Stadium, Mumbai",Mumbai,India,DC,2,PP Shaw,Prithvi Shaw,37,27,51,5,1,137.03,False,False,"{'wickets': 3, 'runs': 99}",9.6,c Boult b Ashwin,"short and wide, backs away to slap this high over cover but makes the mistake of getting it anywhere within 40 yard-radius of Trent Boult patrolling the boundary. It floats in the air long enough for Boult to range 20 yards to his right and takes a safe catch tumbling to his right at thigh height.",
2022.0,1304080,DC v RR,DC,RR,"Wankhede Stadium, Mumbai",Mumbai,India,DC,2,DA Warner,David Warner,28,14,23,5,1,200.00,False,False,"{'wickets': 1, 'runs': 43}",4.3,c &dagger;Samson b Prasidh Krishna,"<b>the change of angle works!</b> Length ball follows Warner backing away from leg, Warner tries to flick this behind point and a thick edge goes through to the keeper. Warner tries to sell it like he didn't touch it and that it came off the thigh guard. Krishna roars a celebration and then goes through a more formal appeal to the umpire, who gives it out. Warner's sales job fails and he doesn't bother reviewing. Clear edge.",
2022.0,1304080,DC v RR,DC,RR,"Wankhede Stadium, Mumbai",Mumbai,India,DC,2,SN Khan,Sarfaraz Khan,1,3,4,0,0,33.33,False,False,"{'wickets': 2, 'runs': 48}",5.1,c Prasidh Krishna b Ashwin,"<strong>Sarfaraz gifts his wicket to square leg!</strong> Fullish length ball on sixth stump, tries to drag this into the leg side with a sweep but picks out Prasidh in the ring, who shuffles to his right taking a catch at neck height just in front of the umpire.",
2022.0,1304080,DC v RR,DC,RR,"Wankhede Stadium, Mumbai",Mumbai,India,DC,2,RR Pant,Rishabh Pant,44,24,36,4,2,183.33,True,False,"{'wickets': 4, 'runs': 124}",11.4,c Padikkal b Prasidh Krishna,"<strong>Padkikkal shows Chahal how it's done!</strong> Length ball angled across off, Pant goes for a big heave over mid-on but a top-edge swirls over point. Padikkal calls off Samson who was running toward it and rightly so because Padikkal had a better angle and less ground to cover. He settles himself before reaching forward and takes a sharp steepler while going to the ground to cushion the ball as it comes back to earth.",
2022.0,1304080,DC v RR,DC,RR,"Wankhede Stadium, Mumbai",Mumbai,India,DC,2,Lalit Yadav,Lalit Yadav,37,24,48,3,2,154.16,False,False,"{'wickets': 7, 'runs': 187}",18.3,c &dagger;Samson b Prasidh Krishna,"<strong>what an over from Krishna! The around the wicket ploy pays off!</strong> Slants this on a good length across Lalit on eighth stump, Lalit tries to shuffle across to get in line for a heave to the leg side but only manages to slice a healthy edge behind to Samson.",
2022.0,1304080,DC v RR,DC,RR,"Wankhede Stadium, Mumbai",Mumbai,India,DC,2,AR Patel,Axar Patel,1,4,6,0,0,25.00,False,False,"{'wickets': 5, 'runs': 127}",12.6, b Chahal,"flighted full on fourth stump, spins back in and defeats Axar's attempted slog sweep, middle and off stump are knocked back.",
