comment_id,season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
110,2022.0,1304080,DC v RR,DC,RR,RR,1,1,1,0,"Ahmed to Buttler, no run",False,False,False,308967,Jos Buttler,0,1,942645,Khaleel Ahmed,0.1,0,0,0,1119026,Devdutt Padikkal,0,0,,,,,,,,,,,,,False,"fullish, on off. Shaping away instead of swinging in. Left alone","<p><B>7.29pm</b> And we are ready to play. Padikkal made a 52-ball 101 on this day, on this ground, exactly one year ago. Packed off side field for Khaleel over the stumps. </p><p><B>T20 Time Out with Wasim Jaffer and Ben Cutting</b></p>
<div class=""embedded-media-card"" data-id=""1101"" data-source=""livestream"" data-url=""https://livestream.com/accounts/6115179/events/10352443""></div>
<p>Tinura: ""Why didn't RR still name a replacement for NCN? Have they decided to make do with their remaining players and to not name a replacement?"" -- Maybe. Or perhaps they are waiting for the right player to get available.</p><p>Jana: ""@Anthony, I think England should also utilize Jos in a similar way as an opener. Therefore, we can see some explosive hundreds from him.""</p><p>Himanshu: ""There were talks of DC not having a very strong pace attack before the tournament. But such have the DC pacers performed that they are keeping someone of Nortje's quality on bench. Khaleel has been really impressive, filling the boots of the Indian pacer after Avesh's departure really well."" -- Khaleel and Kuldeep have been the two most improved bowlers not only in the Capitals squad but in the whole IPL among Indians.</p><p>Anthony: ""Talking of 2 keepers in one team, RR letting Jos concentrate solely on his batting and letting Samson keep is an absolute masterstroke.""</p><p><B>Prithvi Shaw:</b> Everything is ok in the camp. Obviously hectic things are going on in the hotel. Ricky is not coming, but he did message all of us how to approach. He is the boss of the team. If the boss isn't here.... but still Watson sir, Ajit Sir, Pravin Sir, Hopesy are here. They have a lot of international games under them. Always a pleasure to play.""</p><p><B>7pm</b> Toss time. Royals have won just 1/6 tosses so far. What is it this time? <B>Delhi Capitals win the toss, bowl first.</b><BR><BR><B>Rishabh Pant:</b> It will help our fast bowlers and spinners to bowl first. Told the players that we should not focus on the outside noise and focus on inner self. Same XI. Anything near 150-160 will be good.<BR><BR><B>Sanju Samson:</b> ""I don't mind, was ready for both. Toss is not in my hand, actually getting out of my hand. Both batters and bowlers have to be ready for both situations and we are happy to do it. We are playing great standard of cricket. All about carrying the momentum. And then move on. No changes.""</p><p>Capitals: 1 Prithvi Shaw, 2 David Warner, 3 Sarfaraz Khan, 4 Rishabh Pant (capt & wk), 5 Lalit Yadav, 6 Rovman Powell, 7 Axar Patel, 8 Shardul Thakur, 9 Kuldeep Yadav, 10 Mustafizur Rahman, 11 Khaleel Ahmed<BR><BR>Rajasthan Royals: 1 Jos Buttler, 2 Devdutt Padikkal, 3 Sanju Samson (capt & wk), 4 Shimron Hetmyer, 5 Karun Nair, 6 Riyan Parag, 7 R Ashwin, 8 Trent Boult, 9 Obed McCoy, 10 Prasidh Krishna, 11 Yuzvendra Chahal</p><p>Murtaza: ""Bharat and Pant in the same team reminds me of Dhoni and Saha being in the same team in the early CSK days. Infact, both bharat and pant are the 2 main wicketkeepers in the Indian team currently and So were MS and Saha at that time!""</p><p>Saurabhix: ""Keep us posted on the pitch, Sreshth... Good for a run-fest??"" -- Mmm, glad you asked. From one end, the leg-side boundary is just 61 metres. 67 metres for the other side. Bit of grass, but the deck is rock hard, so good for batting as expected. </p><p>Vedant: ""Bharat should get a game, he seems almost forgotten now but his performance against DC last year was incredible!"" -- Never helps when your captain is a wicketkeeper too, though.</p><p>Kashish: ""DC should play KS Bharat/Yash Dhull instead of Powell. As Powell hasn't fired at all this season. ""</p><p>There's so much happening in the IPL, and we love it all. Should Dinesh Karthik get an India call-up for the World Cup?! <strong>Ravi Shastri, Sanjay Manjrekar and Chris Lynn</strong> have their say in <a href=""https://www.espncricinfo.com/video/ipl-2022-runorder-should-dinesh-karthik-get-an-india-call-up-1311887"">Runorder.</a> And h<a href=""https://www.espncricinfo.com/story/ipl-2022-how-unfancied-gujarat-titans-have-proven-their-doubters-wrong-1311883"">ere's Hemant again</a> on how the unfancied-after-the-auction Gujarat Titans have proved all the doubters wrong by being No. 1 for most of the first half. Finally, the latest on Mumbai Indians from Lynn: ""<a href=""https://www.espncricinfo.com/story/ipl-2022-mi-vs-csk-chris-lynn-on-mumbai-indians-instead-of-a-team-of-11-there-s-11-individuals-out-there-1311875"">'Instead of a team of 11, there's 11 individuals out there'</a>. What are your thoughts on all these #TalkingPoints?</p><p><B>6.43pm</b> Fifteen minutes for the toss. How are your fantasy teams coming along? Here are <a href=""https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-rajasthan-royals-34th-match-1304080/match-fantasy-xi"">our suggestions</a>.</p><p>Today's match preview comes from Hemant Brar. He makes a great point. opening bowling will be key with two such powerful powerplay batting line ups. <a href=""https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-rajasthan-royals-34th-match-1304080/match-preview"">Here's more.</a><BR><BR><b>Maruti Suzuki ASKcricinfo stat: <a href=""https://www.espncricinfo.com/ask/cricket-qna/which-team-has-the-highest-run-rate-in-the-powerplays-in-IPL-2022&tournament=ipl"">Which team has the best powerplay run rate in IPL 2022</a>?</b></p><p>Sanket: ""It's incredible to see how DC is putting such great performance despite so much happening around them, Nortje who they retained over rabada was injured, they showed lot of faith in Mitch marsh and Powel where one was firstly injured and then caught covid, second one hasn't proved single thing. Warner wasn't available for first 3 games and now last few days has been even worse but still they are here fighting.""</p><p>Of all the mouth-watering clashes that are on prospect today, the one thing that will be missing is Sangakkara v Ponting. That's because Ponting is in isolation for five days starting today after a family member tested <a href=""https://www.espncricinfo.com/story/ipl-2022-covid-19-delhi-capitals-head-coach-ricky-ponting-in-isolation-after-family-member-tests-positive-1311900"">Covid-19 positive.</a>. Does that give Royals some sort of mental edge? Probably not. The Capitals overcame a string of Covid-19 case results to demolish Punjab Kings and their backroom staff still has James Hopes, Shane Watson, Pravin Amre and Ajit Agarkar.</p><p><B>6.30pm</b> The #KulCha reunion. Two powerful top orders. The battle of the finishers: Pant v Hetmyer. Welcome to a clash that can see one of <B>Rajasthan Royals</b> and <B>Delhi Capitals</b> make big moves up the <a href=""https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/points-table-standings"">points table</a> with a win. For Capitals, a chance to move from sixth to third. For Royals, the two points take them to No. 1 at the halfway stage.</p>",
120,2022.0,1304080,DC v RR,DC,RR,RR,1,1,2,0,"Ahmed to Buttler, no run",False,False,False,308967,Jos Buttler,0,2,942645,Khaleel Ahmed,0.2,0,0,0,1119026,Devdutt Padikkal,0,0,,,,,,,,,,,,,False,that one teases the outside edge. Khaleel gets this length ball on off to angle across and Buttler tries to have a poke at it. Through to Pant,,
130,2022.0,1304080,DC v RR,DC,RR,RR,1,1,3,0,"Ahmed to Buttler, no run",False,False,False,308967,Jos Buttler,0,3,942645,Khaleel Ahmed,0.3,0,0,0,1119026,Devdutt Padikkal,0,0,,,,,,,,,,,,,False,"once again. Fullish on off stump and angling across. Buttler shuffles onto the front foot to defend, but it goes past the outside edge again",,
140,2022.0,1304080,DC v RR,DC,RR,RR,1,1,4,4,"Ahmed to Buttler, FOUR",True,False,False,308967,Jos Buttler,4,4,942645,Khaleel Ahmed,0.4,0,4,0,1119026,Devdutt Padikkal,0,0,,,,,,,,,,,,,False,"<B>lucky for Jos</b> as Khaleel gets the better of him a fourth time, but this time it's flown over the short third man fielder. Back of a length on leg stump, and angling towards off. Buttler tries to pull, but is through the shot too early. Toe-ended, and over the infield",<p>will the inswinger come next? He's got the ball to angle across thrice.</p>,
150,2022.0,1304080,DC v RR,DC,RR,RR,1,1,5,0,"Ahmed to Buttler, no run",False,False,False,308967,Jos Buttler,4,5,942645,Khaleel Ahmed,0.5,0,4,0,1119026,Devdutt Padikkal,0,0,,,,,,,,,,,,,False,good length on middle and angling further away from Buttler. Pant has to move towards first slip to grab that,,
160,2022.0,1304080,DC v RR,DC,RR,RR,1,1,6,4,"Ahmed to Buttler, FOUR",True,False,False,308967,Jos Buttler,8,6,942645,Khaleel Ahmed,1.0,0,8,0,1119026,Devdutt Padikkal,0,0,,,,,,,,,,,,,False,<B>edged along the carpet</b> past first slip for another four. Khaleel went full on off. Buttler poked at it with soft hands. First slip's dive is futile,"<p>Apoorv: ""Butler is playing Gayle of 10 years ago.. will take 2-3 overs to settle down but will explode like anything after that""</p>",
11010,2022.0,1304080,DC v RR,DC,RR,RR,1,2,1,0,"Thakur to Padikkal, no run",False,False,False,1119026,Devdutt Padikkal,0,1,475281,Shardul Thakur,0.1,0,0,0,308967,Jos Buttler,8,6,942645.0,Khaleel Ahmed,1.0,0.0,8.0,0.0,,,,,,,False,full on off. Bit of swing into Padikkal. Defended off the front foot,<p>Shardul. One slip.</p>,
11020,2022.0,1304080,DC v RR,DC,RR,RR,1,2,2,1,"Thakur to Padikkal, 1 leg bye",False,False,False,1119026,Devdutt Padikkal,0,2,475281,Shardul Thakur,0.2,0,0,0,308967,Jos Buttler,8,6,942645.0,Khaleel Ahmed,1.0,0.0,8.0,0.0,,,,,,,False,"<B>big lbw appeal</b> as this length ball lands around leg stump. Padikkal misses the flick, hits the pad, and rolls away to fine leg. Appeal turned down. Big discussion between Pant and Thakur. With a few seconds to go, <B>Pant reviews</b>. Two big questions: did it pitch in line and is height a factor? First question is answered straight away.... <B>pitched outside leg</b> so Capitals lose the review.",,
11030,2022.0,1304080,DC v RR,DC,RR,RR,1,2,3,0,"Thakur to Buttler, no run",False,False,False,308967,Jos Buttler,8,7,475281,Shardul Thakur,0.3,0,0,0,1119026,Devdutt Padikkal,0,2,942645.0,Khaleel Ahmed,1.0,0.0,8.0,0.0,,,,,,,False,"full on off stump. Swing, shaping across the bat. Defended off the front foot to mid off","<p>slip, short third man, backward point.</p>",
11040,2022.0,1304080,DC v RR,DC,RR,RR,1,2,4,0,"Thakur to Buttler, no run",False,False,False,308967,Jos Buttler,8,8,475281,Shardul Thakur,0.4,0,0,0,1119026,Devdutt Padikkal,0,2,942645.0,Khaleel Ahmed,1.0,0.0,8.0,0.0,,,,,,,False,"good length, fifth-stump line. Buttler tries to cut, but the ball goes under the blade. On the bounce to Pant",<p>fine leg and deep point the outfielders.</p>,
